
PLAYER	TEAM	DATE	MATCHUP	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-
Raul Neto	UTA	04/21/2018	UTA vs. OKC	W	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-5
Carmelo Anthony	OKC	04/21/2018	OKC @ UTA	L	31	14	6	10	60.0	2	4	50.0	0	0	-	1	3	4	0	3	0	0	3	-20
Aaron Jackson	HOU	04/21/2018	HOU @ MIN	L	2	1	0	0	-	0	0	-	1	2	50.0	0	0	0	0	0	0	0	0	0
Jamal Crawford	MIN	04/21/2018	MIN vs. HOU	W	18	6	2	7	28.6	1	3	33.3	1	2	50.0	0	3	3	2	1	0	0	1	8
Jerami Grant	OKC	04/21/2018	OKC @ UTA	L	17	7	2	6	33.3	0	1	0.0	3	7	42.9	1	2	3	0	1	0	1	3	1
Royce O'Neale	UTA	04/21/2018	UTA vs. OKC	W	16	7	2	3	66.7	2	3	66.7	1	4	25.0	0	1	1	2	2	1	1	2	2
Raymond Felton	OKC	04/21/2018	OKC @ UTA	L	21	14	5	10	50.0	4	5	80.0	0	0	-	0	1	1	2	1	1	0	0	2
Khris Middleton	MIL	04/20/2018	MIL vs. BOS	W	33	23	10	17	58.8	3	6	50.0	0	1	0.0	0	8	8	7	1	1	1	3	17
Eric Bledsoe	MIL	04/20/2018	MIL vs. BOS	W	27	17	8	13	61.5	0	3	0.0	1	1	100.0	1	3	4	4	0	1	1	3	13
Jeff Green	CLE	04/20/2018	CLE @ IND	L	16	6	2	6	33.3	1	3	33.3	1	2	50.0	0	0	0	2	1	1	0	3	-4
Myles Turner	IND	04/20/2018	IND vs. CLE	W	30	8	4	11	36.4	0	4	0.0	0	0	-	2	8	10	0	1	0	3	3	11
Abdel Nader	BOS	04/20/2018	BOS @ MIL	L	12	4	2	6	33.3	0	2	0.0	0	0	-	1	1	2	2	1	0	0	1	-6
Mike Scott	WAS	04/20/2018	WAS vs. TOR	W	28	12	4	4	100.0	2	2	100.0	2	2	100.0	1	2	3	2	1	0	2	2	14
Kyle Lowry	TOR	04/20/2018	TOR @ WAS	L	35	19	6	14	42.9	5	8	62.5	2	2	100.0	1	3	4	8	3	0	5	5	-4
Kevin Love	CLE	04/20/2018	CLE @ IND	L	37	19	7	13	53.8	3	5	60.0	2	2	100.0	3	3	6	1	1	0	4	4	-1
Cory Joseph	IND	04/20/2018	IND vs. CLE	W	19	6	1	2	50.0	0	1	0.0	4	4	100.0	0	0	0	4	0	0	1	1	-2
Lorenzo Brown	TOR	04/20/2018	TOR @ WAS	L	12	2	1	5	20.0	0	1	0.0	0	0	-	1	2	3	0	0	1	1	2	0
Thon Maker	MIL	04/20/2018	MIL vs. BOS	W	24	14	3	5	60.0	3	4	75.0	5	7	71.4	1	4	5	0	1	5	0	2	23
LeBron James	CLE	04/20/2018	CLE @ IND	L	42	28	10	22	45.5	4	7	57.1	4	6	66.7	3	9	12	8	1	1	6	1	-1
Giannis Antetokounmpo	MIL	04/20/2018	MIL vs. BOS	W	27	19	8	13	61.5	3	4	75.0	0	0	-	0	5	5	6	2	2	2	5	16
Jakob Poeltl	TOR	04/20/2018	TOR @ WAS	L	10	5	2	3	66.7	0	0	-	1	1	100.0	2	2	4	0	0	1	2	3	-11
CJ Miles	TOR	04/20/2018	TOR @ WAS	L	23	9	2	7	28.6	1	5	20.0	4	5	80.0	0	1	1	1	0	0	0	0	-22
Bradley Beal	WAS	04/20/2018	WAS vs. TOR	W	39	28	10	19	52.6	4	9	44.4	4	5	80.0	0	4	4	4	3	0	1	3	19
Lance Stephenson	IND	04/20/2018	IND vs. CLE	W	23	8	3	8	37.5	0	1	0.0	2	2	100.0	0	5	5	1	0	0	1	4	-11
Al Horford	BOS	04/20/2018	BOS @ MIL	L	24	16	7	13	53.8	1	2	50.0	1	1	100.0	1	2	3	1	0	0	2	2	-10
Jaylen Brown	BOS	04/20/2018	BOS @ MIL	L	29	11	4	9	44.4	1	3	33.3	2	2	100.0	1	3	4	1	0	0	0	2	-9
Tyler Zeller	MIL	04/20/2018	MIL vs. BOS	W	19	2	1	1	100.0	0	0	-	0	0	-	0	2	2	1	1	1	0	3	2
Darren Collison	IND	04/20/2018	IND vs. CLE	W	30	3	1	7	14.3	0	2	0.0	1	2	50.0	0	2	2	3	1	0	2	2	-1
Markieff Morris	WAS	04/20/2018	WAS vs. TOR	W	18	7	2	3	66.7	1	1	100.0	2	2	100.0	0	1	1	1	0	0	0	3	5
Malcolm Brogdon	MIL	04/20/2018	MIL vs. BOS	W	29	5	2	8	25.0	1	4	25.0	0	0	-	1	2	3	3	0	0	2	3	8
DeMar DeRozan	TOR	04/20/2018	TOR @ WAS	L	35	23	10	22	45.5	1	3	33.3	2	2	100.0	0	3	3	4	1	1	3	1	-17
Semi Ojeleye	BOS	04/20/2018	BOS @ MIL	L	13	3	1	4	25.0	1	3	33.3	0	0	-	1	1	2	0	0	0	0	1	-6
Otto Porter Jr.	WAS	04/20/2018	WAS vs. TOR	W	31	8	3	7	42.9	2	3	66.7	0	0	-	0	8	8	2	0	2	1	2	9
Domantas Sabonis	IND	04/20/2018	IND vs. CLE	W	24	7	3	5	60.0	0	1	0.0	1	1	100.0	0	1	1	1	0	1	2	3	-4
George Hill	CLE	04/20/2018	CLE @ IND	L	23	13	4	6	66.7	0	2	0.0	5	6	83.3	0	1	1	1	0	0	2	2	-3
Marcin Gortat	WAS	04/20/2018	WAS vs. TOR	W	26	16	8	10	80.0	0	0	-	0	0	-	3	1	4	1	0	0	1	2	12
Jason Smith	WAS	04/20/2018	WAS vs. TOR	W	2	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-1
Tomas Satoransky	WAS	04/20/2018	WAS vs. TOR	W	6	0	0	2	0.0	0	0	-	0	0	-	0	1	1	0	0	0	0	0	0
Shane Larkin	BOS	04/20/2018	BOS @ MIL	L	19	2	1	5	20.0	0	3	0.0	0	0	-	0	0	0	0	0	0	0	3	-17
Trevor Booker	IND	04/20/2018	IND vs. CLE	W	5	0	0	0	-	0	0	-	0	0	-	0	2	2	0	0	0	0	0	-1
Terry Rozier	BOS	04/20/2018	BOS @ MIL	L	31	9	2	7	28.6	1	5	20.0	4	5	80.0	0	2	2	9	2	0	5	1	-8
Rodney Hood	CLE	04/20/2018	CLE @ IND	L	28	8	4	8	50.0	0	3	0.0	0	0	-	0	0	0	3	2	0	1	1	-3
Kyle Korver	CLE	04/20/2018	CLE @ IND	L	20	0	0	3	0.0	0	3	0.0	0	0	-	1	2	3	1	2	0	1	3	-6
Thaddeus Young	IND	04/20/2018	IND vs. CLE	W	33	12	6	10	60.0	0	0	-	0	0	-	5	2	7	1	3	2	1	4	1
Larry Nance Jr.	CLE	04/20/2018	CLE @ IND	L	18	6	3	4	75.0	0	0	-	0	0	-	2	3	5	1	0	0	1	3	-3
Delon Wright	TOR	04/20/2018	TOR @ WAS	L	19	6	2	8	25.0	0	2	0.0	2	2	100.0	0	1	1	1	1	0	0	3	-15
Jonas Valanciunas	TOR	04/20/2018	TOR @ WAS	L	23	14	6	8	75.0	1	1	100.0	1	1	100.0	2	3	5	1	2	0	2	2	0
Ian Mahinmi	WAS	04/20/2018	WAS vs. TOR	W	11	6	2	4	50.0	0	0	-	2	2	100.0	2	0	2	1	1	3	0	4	6
Jayson Tatum	BOS	04/20/2018	BOS @ MIL	L	27	14	5	11	45.5	1	3	33.3	3	5	60.0	1	4	5	0	0	1	0	0	-17
Kelly Oubre Jr.	WAS	04/20/2018	WAS vs. TOR	W	26	12	5	9	55.6	0	3	0.0	2	2	100.0	0	4	4	0	1	2	1	2	13
Marcus Morris	BOS	04/20/2018	BOS @ MIL	L	25	7	2	8	25.0	1	1	100.0	2	2	100.0	0	5	5	0	0	0	4	3	-20
JR Smith	CLE	04/20/2018	CLE @ IND	L	34	8	3	11	27.3	2	8	25.0	0	0	-	0	5	5	0	4	0	0	5	7
Cedi Osman	CLE	04/20/2018	CLE @ IND	L	0	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0
John Wall	WAS	04/20/2018	WAS vs. TOR	W	36	28	12	23	52.2	0	4	0.0	4	5	80.0	1	6	7	14	4	1	3	1	12
Brandon Jennings	MIL	04/20/2018	MIL vs. BOS	W	5	2	0	2	0.0	0	2	0.0	2	2	100.0	0	0	0	0	0	0	1	0	-1
Matthew Dellavedova	MIL	04/20/2018	MIL vs. BOS	W	16	5	2	2	100.0	1	1	100.0	0	0	-	0	1	1	4	0	0	1	2	12
Aron Baynes	BOS	04/20/2018	BOS @ MIL	L	30	8	3	3	100.0	2	2	100.0	0	0	-	3	5	8	1	0	0	0	2	-6
Sterling Brown	MIL	04/20/2018	MIL vs. BOS	W	4	3	1	1	100.0	1	1	100.0	0	0	-	1	0	1	0	1	0	0	2	-2
Victor Oladipo	IND	04/20/2018	IND vs. CLE	W	39	18	5	15	33.3	1	8	12.5	7	8	87.5	0	6	6	7	3	0	5	0	-1
Bojan Bogdanovic	IND	04/20/2018	IND vs. CLE	W	36	30	11	15	73.3	7	9	77.8	1	3	33.3	0	4	4	0	0	0	2	5	18
Norman Powell	TOR	04/20/2018	TOR @ WAS	L	6	5	1	3	33.3	1	3	33.3	2	2	100.0	0	0	0	1	0	0	1	0	-2
Shabazz Muhammad	MIL	04/20/2018	MIL vs. BOS	W	4	3	1	2	50.0	1	1	100.0	0	0	-	0	0	0	0	0	0	0	0	-2
Ty Lawson	WAS	04/20/2018	WAS vs. TOR	W	16	5	1	4	25.0	1	1	100.0	2	2	100.0	0	4	4	2	0	0	2	1	7
Guerschon Yabusele	BOS	04/20/2018	BOS @ MIL	L	7	3	1	2	50.0	0	0	-	1	3	33.3	2	0	2	1	0	0	0	0	1
Greg Monroe	BOS	04/20/2018	BOS @ MIL	L	23	15	4	12	33.3	0	0	-	7	10	70.0	7	5	12	2	0	0	5	0	-12
Pascal Siakam	TOR	04/20/2018	TOR @ WAS	L	16	5	2	3	66.7	1	1	100.0	0	0	-	1	3	4	1	0	1	0	0	-7
Tim Frazier	WAS	04/20/2018	WAS vs. TOR	W	2	0	0	0	-	0	0	-	0	0	-	0	1	1	2	0	0	0	1	-1
Lucas Nogueira	TOR	04/20/2018	TOR @ WAS	L	5	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-7
Jabari Parker	MIL	04/20/2018	MIL vs. BOS	W	30	17	7	12	58.3	1	4	25.0	2	4	50.0	2	3	5	2	1	1	1	4	17
Jordan Clarkson	CLE	04/20/2018	CLE @ IND	L	20	2	1	4	25.0	0	1	0.0	0	0	-	0	4	4	0	0	1	1	1	4
Serge Ibaka	TOR	04/20/2018	TOR @ WAS	L	29	3	1	4	25.0	0	1	0.0	1	2	50.0	1	5	6	2	0	0	3	1	-4
OG Anunoby	TOR	04/20/2018	TOR @ WAS	L	26	12	4	5	80.0	2	3	66.7	2	2	100.0	0	3	3	1	1	0	1	2	-6
Tony Snell	MIL	04/20/2018	MIL vs. BOS	W	22	6	2	3	66.7	2	3	66.7	0	0	-	1	2	3	1	1	1	0	0	17
Jrue Holiday	NOP	04/19/2018	NOP vs. POR	W	32	16	7	14	50.0	2	3	66.7	0	0	-	0	3	3	7	3	0	2	2	19
Patty Mills	SAS	04/19/2018	SAS vs. GSW	L	33	14	6	13	46.2	2	7	28.6	0	0	-	0	2	2	2	2	1	3	3	-19
Dejounte Murray	SAS	04/19/2018	SAS vs. GSW	L	16	9	3	7	42.9	1	1	100.0	2	2	100.0	1	1	2	4	1	0	1	2	3
Wayne Ellington	MIA	04/19/2018	MIA vs. PHI	L	19	3	1	5	20.0	1	4	25.0	0	0	-	0	2	2	0	0	0	0	2	-11
Damian Jones	GSW	04/19/2018	GSW @ SAS	W	3	2	1	1	100.0	0	0	-	0	1	0.0	0	1	1	0	0	0	0	1	-5
Jake Layman	POR	04/19/2018	POR @ NOP	L	8	6	3	3	100.0	0	0	-	0	0	-	0	1	1	1	2	0	0	0	11
Justise Winslow	MIA	04/19/2018	MIA vs. PHI	L	27	19	4	11	36.4	4	6	66.7	7	8	87.5	2	8	10	3	1	2	2	5	-27
CJ McCollum	POR	04/19/2018	POR @ NOP	L	33	22	9	16	56.3	2	5	40.0	2	3	66.7	0	1	1	3	1	0	4	3	-15
Shabazz Napier	POR	04/19/2018	POR @ NOP	L	21	5	2	4	50.0	0	1	0.0	1	2	50.0	0	1	1	2	2	0	3	0	4
E'Twaun Moore	NOP	04/19/2018	NOP vs. POR	W	22	4	2	4	50.0	0	1	0.0	0	0	-	0	4	4	1	0	0	0	1	3
Bryn Forbes	SAS	04/19/2018	SAS vs. GSW	L	9	3	1	4	25.0	1	3	33.3	0	0	-	0	0	0	0	0	0	0	1	-1
David West	GSW	04/19/2018	GSW @ SAS	W	18	2	1	3	33.3	0	1	0.0	0	0	-	1	3	4	3	1	1	0	1	3
Klay Thompson	GSW	04/19/2018	GSW @ SAS	W	38	19	8	16	50.0	3	6	50.0	0	0	-	0	3	3	2	0	0	1	2	12
Davis Bertans	SAS	04/19/2018	SAS vs. GSW	L	20	5	1	3	33.3	1	3	33.3	2	2	100.0	0	4	4	2	0	0	0	3	1
Nikola Mirotic	NOP	04/19/2018	NOP vs. POR	W	30	30	12	15	80.0	4	6	66.7	2	2	100.0	1	7	8	2	3	1	0	3	19
Rodney McGruder	MIA	04/19/2018	MIA vs. PHI	L	2	0	0	1	0.0	0	0	-	0	0	-	0	1	1	0	0	0	0	0	-4
Tony Parker	SAS	04/19/2018	SAS vs. GSW	L	17	16	6	12	50.0	0	2	0.0	4	5	80.0	0	1	1	2	1	0	1	0	-6
Anthony Davis	NOP	04/19/2018	NOP vs. POR	W	36	28	11	18	61.1	0	2	0.0	6	7	85.7	2	9	11	2	3	2	0	3	17
Dwyane Wade	MIA	04/19/2018	MIA vs. PHI	L	25	8	2	10	20.0	0	1	0.0	4	4	100.0	0	2	2	5	1	1	4	2	-4
Hassan Whiteside	MIA	04/19/2018	MIA vs. PHI	L	13	5	1	1	100.0	0	0	-	3	4	75.0	0	2	2	0	0	1	2	4	-3
Cheick Diallo	NOP	04/19/2018	NOP vs. POR	W	7	0	0	1	0.0	0	0	-	0	0	-	0	1	1	0	0	0	0	1	-12
T.J. McConnell	PHI	04/19/2018	PHI @ MIA	W	5	5	2	3	66.7	0	1	0.0	1	1	100.0	0	0	0	0	1	0	0	1	7
Caleb Swanigan	POR	04/19/2018	POR @ NOP	L	8	3	0	2	0.0	0	1	0.0	3	4	75.0	0	2	2	1	0	0	1	1	11
Derrick White	SAS	04/19/2018	SAS vs. GSW	L	3	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	1	0	0	5
Goran Dragic	MIA	04/19/2018	MIA vs. PHI	L	27	23	8	13	61.5	1	5	20.0	6	7	85.7	0	2	2	8	1	0	0	3	-8
Josh Richardson	MIA	04/19/2018	MIA vs. PHI	L	27	14	5	9	55.6	4	7	57.1	0	0	-	1	0	1	0	2	0	4	3	2
Wade Baldwin IV	POR	04/19/2018	POR @ NOP	L	8	1	0	1	0.0	0	0	-	1	2	50.0	0	1	1	2	1	1	1	0	11
LaMarcus Aldridge	SAS	04/19/2018	SAS vs. GSW	L	37	18	6	10	60.0	0	0	-	6	7	85.7	4	6	10	4	0	0	2	0	-20
Darius Miller	NOP	04/19/2018	NOP vs. POR	W	22	8	2	7	28.6	2	6	33.3	2	2	100.0	0	1	1	2	2	0	1	2	22
Joel Embiid	PHI	04/19/2018	PHI @ MIA	W	30	23	5	11	45.5	3	4	75.0	10	15	66.7	1	6	7	4	1	3	3	4	9
Ersan Ilyasova	PHI	04/19/2018	PHI @ MIA	W	20	8	3	5	60.0	2	3	66.7	0	0	-	0	3	3	0	0	1	1	2	8
Zach Collins	POR	04/19/2018	POR @ NOP	L	12	6	2	5	40.0	0	1	0.0	2	2	100.0	2	2	4	0	0	1	0	4	-23
Emeka Okafor	NOP	04/19/2018	NOP vs. POR	W	4	0	0	1	0.0	0	0	-	0	0	-	0	0	0	0	0	0	0	1	-8
Justin Anderson	PHI	04/19/2018	PHI @ MIA	W	9	6	2	3	66.7	2	3	66.7	0	0	-	0	4	4	0	0	0	1	2	5
James Johnson	MIA	04/19/2018	MIA vs. PHI	L	32	12	4	9	44.4	2	3	66.7	2	4	50.0	1	6	7	5	1	2	1	3	-19
Jordan Bell	GSW	04/19/2018	GSW @ SAS	W	3	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-5
Pat Connaughton	POR	04/19/2018	POR @ NOP	L	13	0	0	1	0.0	0	1	0.0	0	0	-	1	0	1	1	0	0	1	3	-20
Maurice Harkless	POR	04/19/2018	POR @ NOP	L	26	5	2	8	25.0	1	5	20.0	0	0	-	2	1	3	4	0	0	0	2	-16
Ben Simmons	PHI	04/19/2018	PHI @ MIA	W	40	19	6	13	46.2	0	1	0.0	7	8	87.5	1	11	12	7	4	0	3	3	24
Ian Clark	NOP	04/19/2018	NOP vs. POR	W	27	7	3	7	42.9	1	2	50.0	0	0	-	0	0	0	2	2	0	2	4	17
Jordan Crawford	NOP	04/19/2018	NOP vs. POR	W	7	5	2	6	33.3	1	5	20.0	0	0	-	0	1	1	0	1	0	2	0	-13
Danny Green	SAS	04/19/2018	SAS vs. GSW	L	20	9	4	10	40.0	1	4	25.0	0	0	-	1	3	4	0	0	1	0	0	0
Dario Saric	PHI	04/19/2018	PHI @ MIA	W	30	21	7	17	41.2	4	7	57.1	3	4	75.0	3	4	7	4	0	0	0	3	10
Marco Belinelli	PHI	04/19/2018	PHI @ MIA	W	33	21	7	13	53.8	4	8	50.0	3	3	100.0	0	4	4	5	1	0	0	3	20
Kevon Looney	GSW	04/19/2018	GSW @ SAS	W	22	4	2	4	50.0	0	1	0.0	0	0	-	0	2	2	1	3	1	0	2	17
Al-Farouq Aminu	POR	04/19/2018	POR @ NOP	L	31	21	8	15	53.3	3	8	37.5	2	2	100.0	4	4	8	1	2	1	2	0	-13
Brandon Paul	SAS	04/19/2018	SAS vs. GSW	L	3	0	0	0	-	0	0	-	0	0	-	0	1	1	1	0	0	0	0	5
DeAndre Liggins	NOP	04/19/2018	NOP vs. POR	W	6	1	0	1	0.0	0	0	-	1	2	50.0	0	0	0	0	0	0	0	0	-14
Manu Ginobili	SAS	04/19/2018	SAS vs. GSW	L	17	0	0	5	0.0	0	4	0.0	0	0	-	1	1	2	0	2	1	1	3	-10
Shaun Livingston	GSW	04/19/2018	GSW @ SAS	W	20	16	4	9	44.4	0	1	0.0	8	8	100.0	0	3	3	1	1	0	1	1	7
Meyers Leonard	POR	04/19/2018	POR @ NOP	L	8	8	4	4	100.0	0	0	-	0	0	-	0	4	4	0	0	0	0	0	11
Rudy Gay	SAS	04/19/2018	SAS vs. GSW	L	31	11	4	11	36.4	1	5	20.0	2	4	50.0	1	5	6	2	1	0	0	4	-4
Damian Lillard	POR	04/19/2018	POR @ NOP	L	35	20	5	14	35.7	3	9	33.3	7	8	87.5	0	3	3	2	0	0	8	1	-24
Robert Covington	PHI	04/19/2018	PHI @ MIA	W	26	11	3	5	60.0	2	2	100.0	3	5	60.0	0	1	1	4	3	1	2	4	12
Markelle Fultz	PHI	04/19/2018	PHI @ MIA	W	4	0	0	0	-	0	0	-	0	0	-	0	1	1	1	0	0	0	2	-9
Tyler Johnson	MIA	04/19/2018	MIA vs. PHI	L	17	10	4	4	100.0	2	2	100.0	0	0	-	0	0	0	0	0	0	1	3	-6
Jusuf Nurkic	POR	04/19/2018	POR @ NOP	L	20	5	2	7	28.6	0	0	-	1	2	50.0	2	5	7	2	2	0	2	4	-18
Kevin Durant	GSW	04/19/2018	GSW @ SAS	W	34	26	9	17	52.9	1	6	16.7	7	7	100.0	0	9	9	6	0	0	4	3	18
Draymond Green	GSW	04/19/2018	GSW @ SAS	W	38	10	4	9	44.4	2	5	40.0	0	0	-	2	4	6	7	2	4	2	2	16
Bam Adebayo	MIA	04/19/2018	MIA vs. PHI	L	15	5	2	3	66.7	0	0	-	1	4	25.0	1	4	5	0	0	0	0	2	1
Ed Davis	POR	04/19/2018	POR @ NOP	L	17	0	0	0	-	0	0	-	0	0	-	0	8	8	0	0	0	2	1	-4
Amir Johnson	PHI	04/19/2018	PHI @ MIA	W	14	4	2	2	100.0	0	0	-	0	0	-	1	1	2	0	0	0	0	1	11
JaVale McGee	GSW	04/19/2018	GSW @ SAS	W	15	6	3	3	100.0	0	0	-	0	0	-	1	3	4	1	0	1	0	1	-5
Rajon Rondo	NOP	04/19/2018	NOP vs. POR	W	28	16	7	12	58.3	1	2	50.0	1	2	50.0	1	4	5	11	2	1	4	2	17
JJ Redick	PHI	04/19/2018	PHI @ MIA	W	28	10	4	9	44.4	1	5	20.0	1	1	100.0	0	0	0	3	0	0	0	1	3
Kelly Olynyk	MIA	04/19/2018	MIA vs. PHI	L	36	9	2	6	33.3	2	5	40.0	3	4	75.0	0	3	3	5	1	3	1	3	-20
Kyle Anderson	SAS	04/19/2018	SAS vs. GSW	L	17	6	3	7	42.9	0	2	0.0	0	0	-	2	0	2	2	1	0	0	2	-10
Quinn Cook	GSW	04/19/2018	GSW @ SAS	W	21	12	5	9	55.6	2	5	40.0	0	0	-	0	3	3	1	1	0	2	2	2
Pau Gasol	SAS	04/19/2018	SAS vs. GSW	L	18	6	3	5	60.0	0	2	0.0	0	0	-	0	7	7	0	0	1	2	3	-9
Nick Young	GSW	04/19/2018	GSW @ SAS	W	3	3	1	2	50.0	1	2	50.0	0	0	-	0	0	0	0	0	0	0	0	-5
Andre Iguodala	GSW	04/19/2018	GSW @ SAS	W	27	10	4	9	44.4	1	5	20.0	1	2	50.0	0	4	4	4	0	0	0	1	10
Luke Babbitt	MIA	04/19/2018	MIA vs. PHI	L	1	0	0	1	0.0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-1
Solomon Hill	NOP	04/19/2018	NOP vs. POR	W	20	4	0	1	0.0	0	0	-	4	4	100.0	2	2	4	0	0	0	1	4	18
Raymond Felton	OKC	04/18/2018	OKC vs. UTA	L	15	8	3	5	60.0	2	4	50.0	0	0	-	0	2	2	3	2	0	1	1	-9
Nemanja Bjelica	MIN	04/18/2018	MIN @ HOU	L	19	16	5	9	55.6	2	4	50.0	4	5	80.0	2	6	8	2	2	0	1	3	-1
Chris Paul	HOU	04/18/2018	HOU vs. MIN	W	30	27	10	18	55.6	3	5	60.0	4	4	100.0	0	3	3	8	3	1	1	2	21
Clint Capela	HOU	04/18/2018	HOU vs. MIN	W	29	8	4	6	66.7	0	0	-	0	0	-	4	12	16	1	0	1	1	2	21
Jerami Grant	OKC	04/18/2018	OKC vs. UTA	L	30	13	6	10	60.0	0	2	0.0	1	2	50.0	3	3	6	1	0	0	3	3	1
Kevin Love	CLE	04/18/2018	CLE vs. IND	W	34	15	5	16	31.3	2	6	33.3	3	3	100.0	3	5	8	0	0	0	3	1	4
Royce O'Neale	UTA	04/18/2018	UTA @ OKC	W	13	3	1	3	33.3	1	2	50.0	0	0	-	0	3	3	0	0	0	0	1	-11
Rudy Gobert	UTA	04/18/2018	UTA @ OKC	W	33	13	3	5	60.0	0	0	-	7	12	58.3	5	10	15	3	2	3	3	2	-5
Russell Westbrook	OKC	04/18/2018	OKC vs. UTA	L	37	19	7	19	36.8	2	3	66.7	3	4	75.0	1	8	9	13	4	0	3	4	-5
Cory Joseph	IND	04/18/2018	IND @ CLE	L	25	6	3	6	50.0	0	2	0.0	0	0	-	0	2	2	2	1	1	0	3	-7
Trevor Booker	IND	04/18/2018	IND @ CLE	L	9	3	1	2	50.0	0	0	-	1	1	100.0	0	3	3	0	0	1	0	4	8
Domantas Sabonis	IND	04/18/2018	IND @ CLE	L	16	6	2	8	25.0	0	2	0.0	2	2	100.0	1	4	5	0	0	0	0	1	1
Jeff Green	CLE	04/18/2018	CLE vs. IND	W	13	2	1	3	33.3	0	1	0.0	0	0	-	1	1	2	1	1	0	1	1	-7
George Hill	CLE	04/18/2018	CLE vs. IND	W	20	6	2	3	66.7	1	1	100.0	1	2	50.0	0	0	0	3	0	0	2	6	16
Thaddeus Young	IND	04/18/2018	IND @ CLE	L	35	8	4	6	66.7	0	0	-	0	0	-	2	4	6	1	3	1	1	5	-8
LeBron James	CLE	04/18/2018	CLE vs. IND	W	40	46	17	24	70.8	2	5	40.0	10	13	76.9	1	11	12	5	2	0	3	1	7
Lance Stephenson	IND	04/18/2018	IND @ CLE	L	24	10	5	9	55.6	0	2	0.0	0	0	-	1	3	4	3	0	0	4	3	3
Dante Exum	UTA	04/18/2018	UTA @ OKC	W	13	2	1	3	33.3	0	0	-	0	0	-	1	0	1	1	1	0	1	0	4
Aaron Jackson	HOU	04/18/2018	HOU vs. MIN	W	3	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	1	0	-3
Bojan Bogdanovic	IND	04/18/2018	IND @ CLE	L	32	8	3	6	50.0	1	3	33.3	1	3	33.3	0	3	3	4	1	0	2	2	-7
Jonas Jerebko	UTA	04/18/2018	UTA @ OKC	W	13	10	5	9	55.6	0	2	0.0	0	0	-	1	4	5	0	0	0	0	2	19
Patrick Patterson	OKC	04/18/2018	OKC vs. UTA	L	10	0	0	2	0.0	0	1	0.0	0	0	-	1	1	2	1	0	0	0	1	-11
Jae Crowder	UTA	04/18/2018	UTA @ OKC	W	19	1	0	3	0.0	0	3	0.0	1	2	50.0	0	1	1	2	3	0	1	5	-14
Zhou Qi	HOU	04/18/2018	HOU vs. MIN	W	3	2	1	1	100.0	0	0	-	0	0	-	0	1	1	0	0	0	0	0	-3
Derrick Rose	MIN	04/18/2018	MIN @ HOU	L	17	9	4	9	44.4	1	1	100.0	0	0	-	1	0	1	1	0	0	1	0	-8
Jordan Clarkson	CLE	04/18/2018	CLE vs. IND	W	14	2	1	4	25.0	0	0	-	0	0	-	0	0	0	1	0	0	0	0	-7
Ricky Rubio	UTA	04/18/2018	UTA @ OKC	W	35	22	6	16	37.5	5	8	62.5	5	6	83.3	0	7	7	9	1	0	3	4	3
Derrick Favors	UTA	04/18/2018	UTA @ OKC	W	37	20	8	14	57.1	2	3	66.7	2	4	50.0	8	8	16	3	1	0	1	2	14
Rodney Hood	CLE	04/18/2018	CLE vs. IND	W	16	5	2	5	40.0	1	2	50.0	0	0	-	0	0	0	1	0	0	2	1	1
Corey Brewer	OKC	04/18/2018	OKC vs. UTA	L	29	11	4	8	50.0	1	3	33.3	2	2	100.0	0	1	1	2	3	1	0	2	9
Chinanu Onuaku	HOU	04/18/2018	HOU vs. MIN	W	3	0	0	0	-	0	0	-	0	0	-	1	0	1	1	1	0	0	1	-3
Andrew Wiggins	MIN	04/18/2018	MIN @ HOU	L	31	13	6	14	42.9	0	3	0.0	1	2	50.0	1	7	8	3	1	1	3	3	-12
Jimmy Butler	MIN	04/18/2018	MIN @ HOU	L	25	11	3	6	50.0	1	1	100.0	4	4	100.0	0	4	4	2	0	0	3	1	-17
Gorgui Dieng	MIN	04/18/2018	MIN @ HOU	L	24	2	1	8	12.5	0	2	0.0	0	0	-	1	5	6	1	0	3	1	1	1
Kyle Korver	CLE	04/18/2018	CLE vs. IND	W	31	12	4	8	50.0	4	8	50.0	0	0	-	0	3	3	1	1	0	0	2	15
Nene	HOU	04/18/2018	HOU vs. MIN	W	12	0	0	0	-	0	0	-	0	0	-	2	2	4	1	0	2	0	1	6
Tyus Jones	MIN	04/18/2018	MIN @ HOU	L	29	2	1	5	20.0	0	1	0.0	0	0	-	0	5	5	3	1	0	1	0	1
Carmelo Anthony	OKC	04/18/2018	OKC vs. UTA	L	38	17	6	18	33.3	2	9	22.2	3	4	75.0	0	9	9	0	1	0	1	3	4
