
PLAYER	TEAM	DATE	MATCHUP	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-
Markieff Morris	WAS	04/25/2018	WAS @ TOR	L	29	6	2	8	25.0	0	2	0.0	2	2	100.0	3	6	9	0	1	0	2	2	-5
Patrick Patterson	OKC	04/25/2018	OKC vs. UTA	W	7	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	2	-7
Zhou Qi	HOU	04/25/2018	HOU vs. MIN	W	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	3
Aaron Jackson	HOU	04/25/2018	HOU vs. MIN	W	1	0	0	0	-	0	0	-	0	0	-	0	0	0	1	0	0	0	0	3
Trevor Booker	IND	04/25/2018	IND @ CLE	L	11	4	2	3	66.7	0	0	-	0	0	-	1	0	1	0	1	0	0	2	-5
OG Anunoby	TOR	04/25/2018	TOR vs. WAS	W	22	3	1	4	25.0	1	4	25.0	0	0	-	0	3	3	0	1	1	2	3	-3
Kyle Korver	CLE	04/25/2018	CLE vs. IND	W	33	19	6	11	54.5	5	9	55.6	2	2	100.0	1	5	6	0	1	0	1	2	10
LeBron James	CLE	04/25/2018	CLE vs. IND	W	42	44	14	24	58.3	1	4	25.0	15	15	100.0	3	7	10	8	1	1	5	3	2
Norman Powell	TOR	04/25/2018	TOR vs. WAS	W	8	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	1	0	0	0	2	1
Klay Thompson	GSW	04/24/2018	GSW vs. SAS	W	41	24	11	22	50.0	1	5	20.0	1	1	100.0	1	4	5	4	0	1	2	2	1
Aron Baynes	BOS	04/24/2018	BOS vs. MIL	W	10	4	2	2	100.0	0	0	-	0	0	-	1	1	2	0	0	0	1	1	1
Quinn Cook	GSW	04/24/2018	GSW vs. SAS	W	8	2	0	1	0.0	0	1	0.0	2	2	100.0	0	0	0	0	0	0	0	1	5
Bam Adebayo	MIA	04/24/2018	MIA @ PHI	L	16	4	2	2	100.0	0	0	-	0	2	0.0	2	2	4	0	0	0	0	2	-11
Kelly Olynyk	MIA	04/24/2018	MIA @ PHI	L	37	18	7	16	43.8	1	7	14.3	3	5	60.0	2	6	8	6	3	1	1	5	3
Nick Young	GSW	04/24/2018	GSW vs. SAS	W	6	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	4
Al Horford	BOS	04/24/2018	BOS vs. MIL	W	38	22	7	15	46.7	2	5	40.0	6	10	60.0	1	13	14	3	0	2	6	3	4
Justin Anderson	PHI	04/24/2018	PHI vs. MIA	W	4	0	0	2	0.0	0	2	0.0	0	0	-	0	1	1	0	0	0	1	0	0
Terry Rozier	BOS	04/24/2018	BOS vs. MIL	W	33	16	4	10	40.0	2	6	33.3	6	8	75.0	0	3	3	5	1	1	2	2	4
Patty Mills	SAS	04/24/2018	SAS @ GSW	L	36	18	7	15	46.7	4	10	40.0	0	0	-	2	3	5	0	0	0	1	3	-5
LaMarcus Aldridge	SAS	04/24/2018	SAS @ GSW	L	40	30	8	18	44.4	0	2	0.0	14	14	100.0	3	9	12	4	1	0	2	3	-3
Shaun Livingston	GSW	04/24/2018	GSW vs. SAS	W	18	8	4	7	57.1	0	0	-	0	0	-	1	0	1	1	0	0	1	0	12
Kevon Looney	GSW	04/24/2018	GSW vs. SAS	W	23	8	2	5	40.0	0	1	0.0	4	7	57.1	0	3	3	1	1	0	0	4	-2
Bryn Forbes	SAS	04/24/2018	SAS @ GSW	L	7	0	0	2	0.0	0	1	0.0	0	0	-	0	0	0	1	0	0	0	1	4
Malcolm Brogdon	MIL	04/24/2018	MIL @ BOS	L	19	2	1	5	20.0	0	2	0.0	0	0	-	0	1	1	3	0	0	2	1	-4
Jayson Tatum	BOS	04/24/2018	BOS vs. MIL	W	25	8	2	7	28.6	1	3	33.3	3	3	100.0	0	3	3	4	0	0	0	3	0
Davis Bertans	SAS	04/24/2018	SAS @ GSW	L	16	3	1	3	33.3	1	3	33.3	0	0	-	0	2	2	3	1	0	0	1	3
Amir Johnson	PHI	04/24/2018	PHI vs. MIA	W	8	6	2	3	66.7	0	0	-	2	3	66.7	3	1	4	0	0	0	1	0	-13
Manu Ginobili	SAS	04/24/2018	SAS @ GSW	L	25	10	3	7	42.9	1	4	25.0	3	3	100.0	0	5	5	7	0	0	2	3	-3
Jaylen Brown	BOS	04/24/2018	BOS vs. MIL	W	38	14	5	13	38.5	3	8	37.5	1	2	50.0	0	6	6	2	2	1	0	4	10
Dario Saric	PHI	04/24/2018	PHI vs. MIA	W	23	8	2	9	22.2	0	5	0.0	4	4	100.0	2	3	5	5	0	0	2	2	3
Rudy Gay	SAS	04/24/2018	SAS @ GSW	L	33	9	4	15	26.7	1	4	25.0	0	0	-	1	3	4	2	0	0	2	4	-2
T.J. McConnell	PHI	04/24/2018	PHI vs. MIA	W	13	4	2	3	66.7	0	0	-	0	1	0.0	0	3	3	3	1	0	0	1	4
Thon Maker	MIL	04/24/2018	MIL @ BOS	L	23	2	1	5	20.0	0	3	0.0	0	0	-	0	2	2	0	0	0	0	6	-4
Tyler Zeller	MIL	04/24/2018	MIL @ BOS	L	10	0	0	0	-	0	0	-	0	0	-	1	2	3	1	1	0	0	1	-6
Semi Ojeleye	BOS	04/24/2018	BOS vs. MIL	W	31	5	1	3	33.3	1	3	33.3	2	2	100.0	1	6	7	0	0	0	1	4	-5
Marcus Smart	BOS	04/24/2018	BOS vs. MIL	W	25	9	2	7	28.6	0	2	0.0	5	5	100.0	0	5	5	4	1	3	5	2	2
Khris Middleton	MIL	04/24/2018	MIL @ BOS	L	41	23	9	21	42.9	3	6	50.0	2	3	66.7	0	3	3	2	0	0	1	4	3
Ben Simmons	PHI	04/24/2018	PHI vs. MIA	W	35	14	4	10	40.0	0	0	-	6	7	85.7	1	9	10	6	2	1	3	4	9
Giannis Antetokounmpo	MIL	04/24/2018	MIL @ BOS	L	41	16	5	10	50.0	0	0	-	6	9	66.7	0	10	10	9	2	2	2	4	-2
Ersan Ilyasova	PHI	04/24/2018	PHI vs. MIA	W	32	5	2	5	40.0	0	2	0.0	1	2	50.0	0	10	10	4	2	0	1	4	12
Rodney McGruder	MIA	04/24/2018	MIA @ PHI	L	7	0	0	1	0.0	0	1	0.0	0	0	-	0	3	3	0	0	0	0	2	-7
Kevin Durant	GSW	04/24/2018	GSW vs. SAS	W	41	25	8	19	42.1	1	8	12.5	8	8	100.0	0	6	6	5	1	2	5	1	8
Josh Richardson	MIA	04/24/2018	MIA @ PHI	L	7	0	0	1	0.0	0	0	-	0	0	-	0	0	0	0	0	1	0	3	-17
Wayne Ellington	MIA	04/24/2018	MIA @ PHI	L	21	9	3	8	37.5	3	7	42.9	0	0	-	0	1	1	0	0	1	1	1	-12
Dwyane Wade	MIA	04/24/2018	MIA @ PHI	L	31	11	4	15	26.7	0	2	0.0	3	4	75.0	0	5	5	5	1	0	1	1	7
Danny Green	SAS	04/24/2018	SAS @ GSW	L	16	0	0	5	0.0	0	4	0.0	0	0	-	1	0	1	0	0	0	1	1	-10
Kyle Anderson	SAS	04/24/2018	SAS @ GSW	L	17	10	5	5	100.0	0	0	-	0	0	-	3	1	4	0	3	0	3	3	-7
JJ Redick	PHI	04/24/2018	PHI vs. MIA	W	32	27	6	13	46.2	5	10	50.0	10	10	100.0	0	0	0	2	0	0	2	2	23
David West	GSW	04/24/2018	GSW vs. SAS	W	18	4	2	4	50.0	0	0	-	0	0	-	1	6	7	3	2	1	1	2	4
Tyler Johnson	MIA	04/24/2018	MIA @ PHI	L	19	16	7	11	63.6	2	4	50.0	0	1	0.0	0	1	1	1	1	0	0	6	-4
Eric Bledsoe	MIL	04/24/2018	MIL @ BOS	L	34	16	5	15	33.3	2	5	40.0	4	6	66.7	1	4	5	3	3	1	1	1	0
Marcus Morris	BOS	04/24/2018	BOS vs. MIL	W	26	10	4	10	40.0	1	4	25.0	1	2	50.0	1	7	8	2	1	0	1	0	6
JaVale McGee	GSW	04/24/2018	GSW vs. SAS	W	14	4	2	5	40.0	0	0	-	0	0	-	0	4	4	1	0	1	0	1	3
Tony Parker	SAS	04/24/2018	SAS @ GSW	L	14	4	2	7	28.6	0	1	0.0	0	0	-	0	1	1	1	0	0	1	1	-2
James Johnson	MIA	04/24/2018	MIA @ PHI	L	32	4	2	5	40.0	0	2	0.0	0	0	-	0	5	5	5	1	2	1	5	-6
Draymond Green	GSW	04/24/2018	GSW vs. SAS	W	40	17	5	11	45.5	2	7	28.6	5	7	71.4	5	14	19	7	0	0	1	5	3
Goran Dragic	MIA	04/24/2018	MIA @ PHI	L	35	15	6	16	37.5	2	6	33.3	1	2	50.0	0	1	1	5	0	0	5	3	-10
Justise Winslow	MIA	04/24/2018	MIA @ PHI	L	25	12	3	9	33.3	2	6	33.3	4	4	100.0	2	5	7	2	1	0	1	1	6
Jabari Parker	MIL	04/24/2018	MIL @ BOS	L	32	17	7	15	46.7	2	7	28.6	1	1	100.0	4	4	8	2	1	0	2	3	-1
Joel Embiid	PHI	04/24/2018	PHI vs. MIA	W	29	19	8	14	57.1	0	0	-	3	5	60.0	2	10	12	1	2	1	4	5	22
